timestamp,resource,cpuPercent,memPercent,movingAvg
2025-11-11 23:41:27,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:41:32,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:41:37,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:41:42,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:41:47,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:41:52,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:41:57,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:42:02,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:42:07,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:42:12,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:42:17,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:42:22,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:42:27,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:42:32,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:42:37,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:42:42,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:42:47,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:42:52,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:42:57,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:43:02,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:43:07,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:43:12,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:43:17,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:43:22,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:43:27,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:43:32,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:43:37,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:43:42,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:43:47,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:43:52,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:43:57,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:44:02,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:44:07,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:44:12,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:44:17,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:44:22,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:44:27,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:44:32,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:44:37,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:44:42,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:44:47,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:44:52,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:44:57,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:45:02,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:45:07,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:45:12,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:45:17,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:45:22,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:45:27,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:45:32,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:45:37,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:45:42,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:45:47,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:45:52,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:45:57,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:46:02,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:46:07,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:46:12,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:46:17,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:46:22,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:46:27,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:46:32,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:46:37,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:46:42,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:46:47,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:46:52,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:46:57,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:47:02,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:47:07,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:47:12,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:47:17,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:47:22,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:47:27,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:47:32,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:47:37,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:47:42,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:47:47,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:47:52,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:47:57,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:48:02,ResourceAgent,0.00,0.00,0.00
2025-11-11 23:48:07,ResourceAgent,0.00,0.00,0.00
